MD Measured Depth (ft),TVD True Vertical Depth(ft),EWOFFSET,NSOFFSET,DIP,AZM,Back Pressure Pump (psi),Equivilant Circulating Pressure (mud psi),ROP (ft/hr),Time (days),ROP (m/sec),equivilant_length (m),K (ft/day),K (m/sec),kin viscosity (kg/(m*s),densityOil (kg/m3),dyn viscosity (m2/sec),Permeability_k (m2),Permeability_k (Millidarcy),Pressure (formation psi),Pressure (formation bar),Delta Pressure (psi),Dept Pressure (fresh water head ft),Flow Rate Incremental (ft3/day),Cumulative Flow Rate (ft3/day),Cumulative Flow Rate (bbl/day),"Over, Under, Normal Pressure Flag",Volume Change (ft3),Volume change (bbl),Cumulative change in pit volume (bbl),Rate of pit volume change bbl/hr,Cumulative Change of pit (bbl)
14536,11015.28,1.12,-3798.54,90.74,180.19,,5507.64,20.833333333333332,90.2777777777779,0.0017638888888888888,0.04539149254490126,0.04539149254490126,1.6013109870006834e-07,0.042,800,5.25e-05,1.0715793213984373e-15,1.0857777474069807,7710.696,531.6339835296,2203.0559999999996,953.9232479999998,14.43333333333333,-3432.287801666666,-617.8118042999998,Over,12.528935185185205,2.2315035879629663,-530.6579130028196,2.5706921333333326,-610.6752427459143
14631,11014.24,2.02,-3893.53,90.52,178.72,,5507.12,20.833333333333332,91.14583333333346,0.0017638888888888888,0.045395778555760546,0.045395778555760546,1.6014621879393304e-07,0.042,800,5.25e-05,1.0716805033678022e-15,1.0858802700374397,7709.967999999999,531.5837896767999,2202.847999999999,953.8331839999996,14.433333333333328,-3417.8544683333325,-615.2138042999999,Over,12.528935185185203,2.231503587962966,-528.4264094148566,2.570692133333332,-608.104550612581
14726,11013.19,3.66,-3988.51,90.74,179.31,,5506.595,20.833333333333332,92.01388888888901,0.0017638888888888888,0.0454001065994503,0.0454001065994503,1.60161487170283e-07,0.042,800,5.25e-05,1.0717826776268983e-15,1.085983798105469,7709.233,531.5331131908,2202.638,953.742254,14.433333333333334,-3403.421134999999,-612.6158042999998,Over,12.528935185185208,2.2315035879629668,-526.1949058268937,2.570692133333333,-605.5338584792477
14820,11015.04,4.62,-4082.47,87.01,179.52,,5507.52,20.833333333333332,92.88194444444457,0.0017638888888888888,0.04539248155249549,0.04539248155249549,1.6013458769908134e-07,0.042,800,5.25e-05,1.0716026693878353e-15,1.0858014047572382,7710.528,531.6224003328,2203.008,953.9024639999999,14.43333333333333,-3388.9878016666657,-610.0178042999999,Over,12.528935185185205,2.2315035879629663,-523.9634022389307,2.5706921333333326,-602.9631663459144
14915,11019.3,4.47,-4177.37,87.84,180.66,,5509.65,20.833333333333332,93.75000000000013,0.0017638888888888888,0.04537493307197372,0.04537493307197372,1.6007268055946284e-07,0.042,800,5.25e-05,1.0711883937649198e-15,1.085381639982319,7713.509999999999,531.828002076,2203.8599999999997,954.2713799999998,14.43333333333333,-3374.5544683333324,-607.4198042999998,Over,12.528935185185205,2.2315035879629663,-521.7318986509678,2.5706921333333326,-600.3924742125811
15010,11021.76,2.78,-4272.32,89.2,181.37,,5510.88,20.833333333333332,94.61805555555569,0.0017638888888888888,0.045364805620880876,0.045364805620880876,1.6003695316255196e-07,0.042,800,5.25e-05,1.0709493100388483e-15,1.0851393883968772,7715.232,531.9467298431999,2204.352,954.4844159999999,14.43333333333333,-3360.121134999999,-604.8218042999998,Over,12.528935185185205,2.2315035879629663,-519.5003950630048,2.5706921333333326,-597.8217820792478
15105,11023.04,-0.56,-4367.25,89.26,182.67,,5511.52,20.833333333333332,95.48611111111124,0.0017638888888888888,0.04535953784074085,0.04535953784074085,1.6001836960483577e-07,0.042,800,5.25e-05,1.0708249509585179e-15,1.0850133815587324,7716.128,532.0085068927999,2204.6079999999993,954.5952639999997,14.433333333333328,-3345.6878016666656,-602.2238042999998,Over,12.528935185185203,2.231503587962966,-517.2688914750419,2.570692133333332,-595.2510899459145
15200,11023.93,-4.81,-4462.15,89.66,182.45,,5511.965,20.833333333333332,96.3541666666668,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7716.750999999999,532.0514612476,2204.785999999999,954.6723379999996,636.4482253333331,-2709.2395763333325,-487.66312373999983,Over,552.4724178240749,98.39975739381033,-418.86913408123155,113.3565205176693,-481.8945694282452
15296,11024.47,-8.48,-4558.08,89.69,181.93,,5512.235,20.833333333333332,97.22222222222236,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7717.128999999999,532.0775234403999,2204.8939999999993,954.7191019999997,636.4794013333332,-2072.7601749999994,-373.0968314999999,Over,552.499480324075,98.40457744156033,-320.46455663967123,113.3620732126773,-368.5324962155679
15390,11024.88,-12.13,-4652.01,89.82,182.53,,5512.44,20.833333333333332,98.09027777777791,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7717.415999999999,532.0973114015999,2204.9759999999997,954.7546079999998,636.5030719999999,-1436.2571029999995,-258.5262785399999,Over,552.5200277777786,98.40823710744459,-222.05631953222664,113.36628914777596,-255.16620706779196
15485,11026.92,-15.47,-4746.92,87.72,181.5,,5513.46,20.833333333333332,98.95833333333347,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7718.843999999999,532.1957685744,2205.383999999999,954.9312719999996,636.6208479999997,-799.6362549999998,-143.93452589999995,Over,552.6222638888896,98.42644617672235,-123.62987335550429,113.38726599558395,-141.778941072208
15580,11029.11,-19.0,-4841.83,89.63,182.76,,5514.555,20.833333333333332,99.82638888888903,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7720.3769999999995,532.3014652451999,2205.821999999999,955.1209259999996,636.7472839999997,-162.88897100000008,-29.320014780000015,Over,552.7320173611118,98.4459941481529,-25.18387920735138,113.40978525867195,-28.369155813536054
15675,11028.19,-23.88,-4936.69,91.48,183.12,,5514.095,20.833333333333332,100.69444444444458,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7719.733,532.2570629908,2205.638,955.041254,636.6941693333333,473.80519833333324,85.28493569999998,Over,552.6859108796306,98.43778221494924,73.25390300759786,113.40032511162131,85.03116929808526
